rank,position,first_name,last_name,team,user_id,contract,year_2017,year_2018,year_2019,year_2020,og_contract
1,QB,Aaron,Rodgers,GB,Jake,2,$103.68,$124.42,,,
2,QB,Tom,Brady,NE,Adam,1,$20.74,,,,
3,QB,Drew,Brees,NO,,,,,,,
4,QB,Andrew,Luck,IND,,,,,,,
5,QB,Russell,Wilson,SEA,,,,,,,
6,QB,Matt,Ryan,ATL,Alan,1,$41.73,,,,
7,QB,Kirk,Cousins,WAS,Jeff,1,$15.60,,,,
8,QB,Marcus,Mariota,TEN,Chris,1,$15.84,,,,3
9,QB,Jameis,Winston,TB,Jake,1,$10.08,,,,99
10,QB,Cam,Newton,CAR,,,,,,,
11,QB,Ben,Roethlisberger,PIT,,,,,,,
12,QB,Derek,Carr,OAK,Travis,1,$20.40,,,,
13,QB,Dak,Prescott,DAL,,,,,,,
14,QB,Philip,Rivers,LAC,,,,,,,
15,QB,Matthew,Stafford,DET,Mike,1,$48.00,,,,
16,QB,Tyrod,Taylor,BUF,,,,,,,
17,QB,Andy,Dalton,CIN,,,,,,,
18,QB,Eli,Manning,NYG,,,,,,,
19,QB,Carson,Palmer,ARI,,,,,,,
20,QB,Blake,Bortles,JAC,,,,,,,
21,QB,Carson,Wentz,PHI,,,,,,,
22,QB,Ryan,Tannehill,MIA,,,,,,,
23,QB,Joe,Flacco,BAL,,,,,,,
24,QB,Sam,Bradford,MIN,,,,,,,
25,QB,Alex,Smith,KC,,,,,,,
26,QB,Brian,Hoyer,SF,,,,,,,
27,QB,Deshaun,Watson,HOU,Coop,3,$6.00,$7.20,$8.64,,3
28,QB,Trevor,Siemian,DEN,Chris,2,$1.20,$1.44,,,3
29,QB,Mike,Glennon,CHI,,,,,,,
30,QB,Josh,McCown,NYJ,,,,,,,
31,QB,Jared,Goff,LAR,,,,,,,
32,QB,Paxton,Lynch,DEN,,,,,,,
33,QB,Brock,Osweiler,CLE,,,,,,,
34,QB,Colin,Kaepernick,FA,,,,,,,
35,QB,Jimmy,Garoppolo,NE,,,,,,,
36,QB,Cody,Kessler,CLE,,,,,,,
37,QB,Tom,Savage,HOU,,,,,,,
38,QB,Teddy,Bridgewater,MIN,,,,,,,
39,QB,Mitch,Trubisky,CHI,,,,,,,
40,QB,DeShone,Kizer,CLE,,,,,,,
41,QB,Patrick,Mahomes,KC,,,,,,,
1,RB,David,Johnson,ARI,Alan,2,$12.96,$15.55,,,4
2,RB,Le'Veon,Bell,PIT,Jake,2,$20.74,$24.89,,,
3,RB,Ezekiel,Elliott,DAL,Jake,2,$19.20,$23.04,,,3
4,RB,LeSean,McCoy,BUF,,,,,,,
5,RB,Melvin,Gordon,LAC,Chris,1,$21.60,,,,3
6,RB,Devonta,Freeman,ATL,Adam,1,$12.00,,,,
7,RB,Jay,Ajayi,MIA,,,,,,,
8,RB,Jordan,Howard,CHI,Adam,1,$30.84,,,,
9,RB,DeMarco,Murray,TEN,Alan,1,$19.20,,,,
10,RB,Todd,Gurley,LAR,Chris,1,$23.04,,,,3
11,RB,Leonard,Fournette,JAC,Alan,3,$16.00,$19.20,$23.04,,3
12,RB,Lamar,Miller,HOU,Adam,1,$69.60,,,,2
13,RB,Isaiah,Crowell,CLE,,,,,,,
14,RB,Marshawn,Lynch,OAK,,,,,,,
15,RB,Carlos,Hyde,SF,Jeff,2,$15.55,$18.66,,,
16,RB,Joe,Mixon,CIN,Mike,3,$15.00,$18.00,$21.60,,3
17,RB,Ty,Montgomery,GB,,,,,,,
18,RB,Spencer,Ware,KC,Jake,3,$1.20,$1.44,$1.73,,4
19,RB,Christian,McCaffrey,CAR,Chris,3,$13.00,$15.60,$18.72,,3
20,RB,C.J.,Anderson,DEN,,,,,,,
21,RB,Mark,Ingram,NO,Jake,1,$5.18,,,,4
22,RB,Eddie,Lacy,SEA,,,,,,,
23,RB,Mike,Gillislee,NE,,,,,,,
24,RB,Dalvin,Cook,MIN,Adam,3,$12.00,$14.40,$17.28,,3
25,RB,Tevin,Coleman,ATL,Alan,1,$7.20,,,,3
26,RB,Frank,Gore,IND,,,,,,,
27,RB,Bilal,Powell,NYJ,,,,,,,
28,RB,Ameer,Abdullah,DET,Jeff,1,$5.76,,,,3
29,RB,Paul,Perkins,NYG,Alan,2,$7.20,$8.64,,,3
30,RB,LeGarrette,Blount,PHI,,,,,,,
31,RB,Adrian,Peterson,NO,,,,,,,
32,RB,Doug,Martin,TB,,,,,,,
33,RB,Danny,Woodhead,BAL,,,,,,,
34,RB,Jonathan,Stewart,CAR,,,,,,,
35,RB,Terrance,West,BAL,,,,,,,
36,RB,Samaje,Perine,WAS,,,,,,,
37,RB,Derrick,Henry,TEN,Travis,2,$18.00,$21.60,,,3
38,RB,Matt,Forte,NYJ,,,,,,,
39,RB,Theo,Riddick,DET,Adam,1,$4.80,,,,2
40,RB,Robert,Kelley,WAS,,,,,,,
41,RB,Kareem,Hunt,KC,Alan,3,$10.00,$12.00,$14.40,,3
42,RB,C.J.,Prosise,SEA,,,,,,,
43,RB,Latavius,Murray,MIN,,,,,,,
44,RB,Duke,Johnson,CLE,,,,,,,
45,RB,James,White,NE,,,,,,,
46,RB,Jeremy,Hill,CIN,Jeff,2,$10.00,$12.00,,,
47,RB,Thomas,Rawls,SEA,,,,,,,
48,RB,Jamaal,Williams,GB,Chris,3,$4.00,$4.80,$5.76,,3
49,RB,Jamaal,Charles,DEN,,,,,,,
50,RB,Darren,Sproles,PHI,,,,,,,
51,RB,Jacquizz,Rodgers,TB,,,,,,,
52,RB,Giovani,Bernard,CIN,,,,,,,
53,RB,Joe,Williams,SF,,,,,,,
54,RB,Alvin,Kamara,NO,,,,,,,
55,RB,Chris,Thompson,WAS,,,,,,,
56,RB,Dion,Lewis,NE,Travis,3,$1.20,$1.44,$1.73,,99
57,RB,DeAndre,Washington,OAK,Travis,3,$1.20,$1.44,$1.73,,99
58,RB,Marlon,Mack,IND,,,,,,,
59,RB,Rex,Burkhead,NE,,,,,,,
60,RB,Charles,Sims,TB,,,,,,,
61,RB,Shane,Vereen,NYG,,,,,,,
62,RB,Darren,McFadden,DAL,,,,,,,
63,RB,Ryan,Mathews,PHI,,,,,,,
64,RB,Jonathan,Williams,BUF,,,,,,,
65,RB,Chris,Ivory,JAC,,,,,,,
66,RB,Tim,Hightower,SF,,,,,,,
67,RB,Robert,Turbin,IND,,,,,,,
68,RB,Devontae,Booker,DEN,Adam,2,$3.60,$4.32,,,3
69,RB,Wendell,Smallwood,PHI,,,,,,,
70,RB,Jalen,Richard,OAK,,,,,,,
71,RB,D'Onta,Foreman,HOU,Mike,3,$8.00,$9.60,$11.52,,3
72,RB,Elijah,Hood,OAK,,,,,,,
73,RB,Zach,Zenner,DET,,,,,,,
74,RB,James,Conner,PIT,,,,,,,
75,RB,Jerick,McKinnon,MIN,,,,,,,
76,RB,T.J.,Yeldon,JAC,,,,,,,
77,RB,Wayne,Gallman,NYG,,,,,,,
78,RB,Jeremy,McNichols,TB,,,,,,,
79,RB,Javorius,Allen,BAL,,,,,,,
80,RB,Jeremy,Langford,CHI,,,,,,,
81,RB,Aaron,Jones,GB,,,,,,,
82,RB,Dwayne,Washington,DET,,,,,,,
83,RB,Matt,Jones,WAS,,,,,,,
84,RB,Lance,Dunbar,LAR,,,,,,,
85,RB,Rashad,Jennings,FA,,,,,,,
86,RB,De'Angelo,Henderson,DEN,,,,,,,
87,RB,Andre,Ellington,ARI,,,,,,,
88,RB,Chris,Johnson,ARI,,,,,,,
89,RB,Branden,Oliver,LAC,,,,,,,
90,RB,DeAngelo,Williams,FA,,,,,,,
91,RB,C.J.,Spiller,KC,,,,,,,
92,RB,Alfred,Morris,DAL,,,,,,,
93,RB,Alfred,Blue,HOU,,,,,,,
94,RB,Kenyan,Drake,MIA,,,,,,,
95,RB,Kyle,Juszczyk,SF,,,,,,,
96,RB,Cameron,Artis-Payne,CAR,Chris,1,$1.20,,,,2
97,RB,Kenneth,Farrow,LAC,,,,,,,
98,RB,Brian,Hill,ATL,,,,,,,
99,RB,Matt,Dayes,FA,,,,,,,
100,RB,Tarik,Cohen,CHI,,,,,,,
101,RB,Benny,Cunningham,CHI,,,,,,,
102,RB,Charcandrick,West,KC,,,,,,,
103,RB,Matt,Breida,SF,,,,,,,
104,RB,Donnel,Pumphrey,PHI,,,,,,,
105,RB,Damien,Williams,MIA,,,,,,,
106,RB,Kapri,Bibbs,SF,,,,,,,
107,RB,Corey,Grant,JAC,,,,,,,
108,RB,Andre,Williams,LAC,,,,,,,
109,RB,Kenneth,Dixon,BAL,Alan,2,$8.40,$10.08,,,3
1,WR,Antonio,Brown,PIT,,,,,,,
2,WR,Odell,Beckham Jr.,NYG,,,,,,,
3,WR,Julio,Jones,ATL,Alan,2,$72.58,$87.10,,,
4,WR,Mike,Evans,TB,Alan,3,$25.92,$31.10,$37.32,,
5,WR,A.J.,Green,CIN,,,,,,,
6,WR,Jordy,Nelson,GB,,,,,,,
7,WR,Michael,Thomas,NO,Chris,2,$10.80,$12.96,,,3
8,WR,T.Y.,Hilton,IND,Coop,1,$20.74,,,,
9,WR,Dez,Bryant,DAL,Travis,2,$78.79,$94.55,,,
10,WR,Doug,Baldwin,SEA,,,,,,,
11,WR,Amari,Cooper,OAK,Travis,1,$20.16,,,,3
12,WR,DeAndre,Hopkins,HOU,,,,,,,
13,WR,Demaryius,Thomas,DEN,,,,,,,
14,WR,Allen,Robinson,JAC,Adam,1,$11.52,,,,3
15,WR,Brandin,Cooks,NE,Coop,1,$22.46,,,,
16,WR,Sammy,Watkins,BUF,Travis,2,$27.65,$33.18,,,
17,WR,Alshon,Jeffery,PHI,Jake,4,$10.00,$12.00,$14.40,$17.28,
18,WR,Davante,Adams,GB,Mike,1,$45.48,,,,
19,WR,Terrelle,Pryor,WAS,Coop,3,$1.20,$1.44,$1.73,,4
20,WR,Keenan,Allen,LAC,Adam,2,$18.72,$22.46,,,
21,WR,Michael,Crabtree,OAK,Adam,3,$10.00,$12.00,$14.40,,
22,WR,Golden,Tate,DET,Mike,2,$14.40,$17.28,,,
23,WR,Jarvis,Landry,MIA,,,,,,,
24,WR,Emmanuel,Sanders,DEN,Chris,2,$10.00,$12.00,,,
25,WR,Larry,Fitzgerald,ARI,,,,,,,
26,WR,Tyreek,Hill,KC,,,,,,,
27,WR,Martavis,Bryant,PIT,Coop,3,$6.00,$7.20,$8.64,,4
28,WR,Julian,Edelman,NE,,,,,,,
29,WR,Jamison,Crowder,WAS,,,,,,,
30,WR,Donte,Moncrief,IND,Jake,3,$13.20,$15.84,$19.01,,4
31,WR,Willie,Snead,NO,,,,,,,
32,WR,Stefon,Diggs,MIN,Coop,3,$6.00,$7.20,$8.64,,4
33,WR,Kelvin,Benjamin,CAR,Adam,3,$10.00,$12.00,$14.40,,
34,WR,DeSean,Jackson,TB,Mike,1,$16.80,,,,
35,WR,Brandon,Marshall,NYG,Adam,1,$21.60,,,,
36,WR,Pierre,Garcon,SF,,,,,,,
37,WR,Eric,Decker,TEN,,,,,,,
38,WR,Jeremy,Maclin,BAL,,,,,,,
39,WR,Cameron,Meredith,CHI,,,,,,,
40,WR,John,Brown,ARI,Adam,2,$2.88,$3.46,,,4
41,WR,Devante,Parker,MIA,Alan,1,$18.72,,,,3
42,WR,Tyrell,Williams,LAC,,,,,,,
43,WR,Kenny,Britt,CLE,,,,,,,
44,WR,Randall,Cobb,GB,,,,,,,
45,WR,Mike,Wallace,BAL,,,,,,,
46,WR,Corey,Coleman,CLE,Adam,2,$13.20,$15.84,,,3
47,WR,Corey,Davis,TEN,Jake,3,$14.00,$16.80,$20.16,,3
48,WR,Adam,Thielen,MIN,,,,,,,
49,WR,Quincy,Enunwa,NYJ,,,,,,,
50,WR,Rishard,Matthews,TEN,,,,,,,
51,WR,Jordan,Matthews,PHI,,,,,,,
52,WR,Marvin,Jones,DET,,,,,,,
53,WR,Ted,Ginn,NO,,,,,,,
54,WR,Breshad,Perriman,BAL,Mike,1,$8.64,,,,3
55,WR,Robert,Woods,LAR,,,,,,,
56,WR,Josh,Doctson,WAS,Jeff,2,$14.40,$17.28,,,3
57,WR,Sterling,Shepard,NYG,Jake,2,$12.00,$14.40,,,3
58,WR,Kevin,White,CHI,Jeff,1,$17.28,,,,3
59,WR,Kenny,Stills,MIA,,,,,,,
60,WR,Tyler,Lockett,SEA,Chris,1,$11.52,,,,3
61,WR,Zay,Jones,BUF,Mike,3,$7.00,$8.40,$10.08,,3
62,WR,Will,Fuller,HOU,Jeff,2,$4.80,$5.76,,,3
63,WR,Marqise,Lee,JAC,,,,,,,
64,WR,John,Ross,CIN,Chris,3,$5.00,$6.00,$7.20,,3
65,WR,Malcolm,Mitchell,NE,,,,,,,
66,WR,Mike,Williams,LAC,Jeff,3,$11.00,$13.20,$15.84,,3
67,WR,J.J.,Nelson,ARI,,,,,,,
68,WR,Taylor,Gabriel,ATL,,,,,,,
69,WR,Cole,Beasley,DAL,,,,,,,
70,WR,Allen,Hurns,JAC,,,,,,,
71,WR,Tavon,Austin,LAR,Chris,1,$10.80,,,,2
72,WR,Devin,Funchess,CAR,Coop,3,$6.00,$7.20,$8.64,,4
73,WR,Eli,Rogers,PIT,,,,,,,
74,WR,Mohamed,Sanu,ATL,,,,,,,
75,WR,Cooper,Kupp,LAR,,,,,,,
76,WR,Brandon,LaFell,CIN,,,,,,,
77,WR,Michael,Floyd,MIN,,,,,,,
78,WR,Paul,Richardson,SEA,,,,,,,
79,WR,Kenny,Golladay,DET,Mike,3,$2.00,$2.40,$2.88,,3
80,WR,Travis,Benjamin,LAC,,,,,,,
81,WR,Curtis,Samuel,CAR,,,,,,,
82,WR,Chris,Hogan,NE,,,,,,,
83,WR,Tyler,Boyd,CIN,,,,,,,
84,WR,Chris,Conley,KC,,,,,,,
85,WR,Robby,Anderson,NYJ,,,,,,,
86,WR,Torrey,Smith,PHI,,,,,,,
87,WR,JuJu,Smith-Schuster,PIT,Jake,3,$1.00,$1.20,$1.44,,3
88,WR,Kamar,Aiken,IND,,,,,,,
89,WR,Kendall,Wright,CHI,,,,,,,
90,WR,Taywan,Taylor,TEN,,,,,,,
91,WR,Laquon,Treadwell,MIN,,,,,,,
92,WR,Jeremy,Kerley,SF,,,,,,,
93,WR,Anquan,Boldin,FA,,,,,,,
94,WR,Vincent,Jackson,FA,,,,,,,
95,WR,Nelson,Agholor,PHI,,,,,,,
96,WR,Tajae,Sharpe,TEN,,,,,,,
97,WR,Chad,Hansen,NYJ,,,,,,,
98,WR,Jermaine,Kearse,SEA,,,,,,,
99,WR,Marquise,Goodwin,SF,,,,,,,
100,WR,Terrance,Williams,DAL,,,,,,,
101,WR,Andre,Holmes,BUF,,,,,,,
102,WR,Phillip,Dorsett,IND,,,,,,,
103,WR,Josh,Gordon,CLE,,,,,,,
104,WR,Pharoh,Cooper,LAC,Chris,2,$1.20,$1.44,,,3
1,TE,Rob,Gronkowski,NE,Jake,2,$51.84,$62.21,,,
2,TE,Travis,Kelce,KC,Travis,2,$27.36,$32.83,,,
3,TE,Jordan,Reed,WAS,Travis,1,$37.20,,,,
4,TE,Greg,Olsen,CAR,Adam,2,$12.00,$14.40,,,
5,TE,Jimmy,Graham,SEA,Mike,1,$14.40,,,,
6,TE,Tyler,Eifert,CIN,,,,,,,
7,TE,Kyle,Rudolph,MIN,,,,,,,
8,TE,Delanie,Walker,TEN,Travis,1,$20.40,,,,
9,TE,Martellus,Bennett,GB,,,,,,,
10,TE,Eric,Ebron,DET,,,,,,,
11,TE,Zach,Ertz,PHI,Mike,1,$13.20,,,,
12,TE,Hunter,Henry,LAC,Coop,2,$9.60,$11.52,,,3
13,TE,Jack,Doyle,IND,,,,,,,
14,TE,Coby,Fleener,NO,,,,,,,
15,TE,Julius,Thomas,MIA,Chris,1,$10.08,,,,3
16,TE,Jason,Witten,DAL,,,,,,,
17,TE,Cameron,Brate,TB,,,,,,,
18,TE,C.J.,Fiedorowicz,HOU,,,,,,,
19,TE,Antonio,Gates,LAC,,,,,,,
20,TE,Austin,Hooper,ATL,,,,,,,
21,TE,O.J.,Howard,TB,Jake,3,$9.00,$10.80,$12.96,,3
22,TE,Jared,Cook,OAK,,,,,,,
23,TE,David,Njoku,CLE,Jeff,3,$3.00,$3.60,$4.32,,3
24,TE,Evan,Engram,NYG,,,,,,,
25,TE,Dwayne,Allen,NE,,,,,,,
26,TE,Zach,Miller,CHI,,,,,,,
27,TE,Jesse,James,PIT,,,,,,,
28,TE,Charles,Clay,BUF,,,,,,,
29,TE,Ladarius,Green,FA,Chris,1,$1.20,,,,2
30,TE,Austin,Seferian-Jenkins,NYJ,,,,,,,
31,TE,Tyler,Higbee,LAR,,,,,,,
32,TE,Vernon,Davis,WAS,,,,,,,
33,TE,Vance,McDonald,SF,,,,,,,
34,TE,Benjamin,Watson,BAL,,,,,,,
35,TE,Jermaine,Gresham,ARI,,,,,,,
36,TE,Dion,Sims,CHI,,,,,,,
37,TE,A.J.,Derby,DEN,,,,,,,
38,TE,Erik,Swoope,IND,,,,,,,
39,TE,Lance,Kendricks,GB,,,,,,,
40,TE,Gary,Barnidge,FA,,,,,,,
41,TE,Gerald,Everett,LAR,,,,,,,
42,TE,Maxx,Williams,BAL,,,,,,,
43,TE,Jordan,Leggett,NYJ,,,,,,,
44,TE,Clive,Walford,OAK,,,,,,,
45,TE,Jake,Butt,DEN,,,,,,,